code;nom;latitude;longitude;region;statut;zone_hta;zone_complete
ABBA5;ABBAYE;45.91030179475;6.70605661564255;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ABBEN;ABBENANS;47.5059155009529;6.46434318120508;BOURGOGNE-FRANCHE-COMTé;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ABBEV;ABBEVILLE;50.0936058881556;1.82805069876035;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ABOND;ABONDANCE;46.2931402711814;6.76258937060624;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ACHIE;ACHIET;50.1387780314936;2.78187956999874;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
A.LIG;ACHILLE LIGNON;45.7850072522787;4.86066342761877;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ADELS;ADELSBERG;49.0091271882019;7.03248488264883;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ADRIE;ADRIERS;46.2256599677248;0.770675065365608;NOUVELLE-AQUITAINE;En construction (déduit selon data Capareseau);Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AGNEA;AGNEAUX;49.1125132644747;-1.12264425005276;NORMANDIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AGUES;AGUESSAC;44.1493813719198;3.09888622080173;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones d'injection photovoltaïque HTB
AICIR;AICIRITS;43.3450041156615;-1.01977494922902;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AIGRE;AIGRE;45.8873612659868;0.00164286214604672;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AIGU5;AIGUEBELLE;45.5350172286313;6.31267385882799;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AIGUE;AIGUEBELLE;45.5262464641993;6.31486116875308;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
